epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.886,1.0238,1.33266,1.05488,0.733,0.78113,0.81697,0.6235,0.84771,0.85955,0.93173,0.00333205,0.00333205,0.00333205
2,490.833,0.977,0.91117,1.01744,0.74599,0.784,0.82654,0.63854,0.85572,0.75679,0.94962,0.0065994,0.0065994,0.0065994
3,730.402,0.99792,0.87971,1.03689,0.72507,0.79081,0.81802,0.62789,0.8767,0.77829,0.98508,0.00980074,0.00980074,0.00980074
4,974.626,0.99214,0.85401,1.04197,0.75213,0.80696,0.83896,0.65924,0.83747,0.70674,0.96235,0.009703,0.009703,0.009703
5,1215.25,0.95653,0.80419,1.02425,0.79396,0.77682,0.8557,0.67729,0.81888,0.66864,0.94922,0.009604,0.009604,0.009604
6,1464.84,0.93369,0.77555,1.01646,0.78736,0.80779,0.86965,0.69144,0.80022,0.638,0.94205,0.009505,0.009505,0.009505
7,1715.91,0.92223,0.75536,1.00997,0.78892,0.83172,0.87706,0.69875,0.80192,0.62042,0.94115,0.009406,0.009406,0.009406
8,1957.1,0.91316,0.74064,1.00468,0.80915,0.81385,0.88041,0.70679,0.78602,0.60932,0.93733,0.009307,0.009307,0.009307
9,2188.57,0.90214,0.7275,0.9997,0.78203,0.8535,0.88406,0.71035,0.78648,0.59502,0.9345,0.009208,0.009208,0.009208
10,2391.01,0.89587,0.71716,0.99712,0.81549,0.81672,0.88869,0.71509,0.77707,0.58713,0.93173,0.009109,0.009109,0.009109
11,2611.99,0.88967,0.70926,0.99408,0.8166,0.8249,0.89075,0.71975,0.77024,0.57488,0.92564,0.00901,0.00901,0.00901
12,2837.97,0.88496,0.70305,0.99135,0.82765,0.81808,0.89304,0.72245,0.76799,0.56914,0.92666,0.008911,0.008911,0.008911
13,3066.13,0.87694,0.69488,0.98994,0.81398,0.8384,0.89527,0.72419,0.76307,0.56233,0.92266,0.008812,0.008812,0.008812
14,3292.51,0.87519,0.68991,0.98648,0.7947,0.85279,0.89769,0.72895,0.75921,0.55781,0.92136,0.008713,0.008713,0.008713
15,3518.69,0.87175,0.68646,0.98659,0.81414,0.844,0.90138,0.73153,0.75707,0.55117,0.9192,0.008614,0.008614,0.008614
16,3775.07,0.86782,0.67964,0.98353,0.80282,0.85756,0.90062,0.73285,0.7579,0.54945,0.91873,0.008515,0.008515,0.008515
17,4053.34,0.86824,0.67675,0.98436,0.80268,0.86553,0.90302,0.73379,0.7583,0.54686,0.9198,0.008416,0.008416,0.008416
18,4327.08,0.86188,0.67168,0.98155,0.80863,0.86078,0.90305,0.73356,0.75724,0.54319,0.91894,0.008317,0.008317,0.008317
19,4608.76,0.86181,0.66779,0.98224,0.80442,0.8663,0.90434,0.73617,0.756,0.53917,0.91821,0.008218,0.008218,0.008218
20,4831.1,0.86052,0.66706,0.98062,0.80128,0.87191,0.90519,0.73756,0.75484,0.5364,0.91773,0.008119,0.008119,0.008119
21,5057.62,0.85789,0.66225,0.97935,0.82191,0.84454,0.90633,0.73917,0.75417,0.53398,0.91687,0.00802,0.00802,0.00802
22,5284.68,0.85686,0.66181,0.97751,0.82501,0.85002,0.90681,0.73963,0.75265,0.53234,0.91596,0.007921,0.007921,0.007921
23,5508.46,0.85151,0.65694,0.97719,0.82038,0.85145,0.9067,0.74059,0.7514,0.53025,0.91545,0.007822,0.007822,0.007822
